Data,Valoare EUR (lei),Variatie (lei),Variatie (%)
18 Oct. 2024,4.9724,0.0004,0.01%
17 Oct. 2024,4.972,-0.0038,-0.08%
16 Oct. 2024,4.9758,0.0003,0.01%
15 Oct. 2024,4.9755,0.0011,0.02%
14 Oct. 2024,4.9744,-0.0008,-0.02%
11 Oct. 2024,4.9752,-0.0007,-0.01%
10 Oct. 2024,4.9759,-0.0004,-0.01%
9 Oct. 2024,4.9763,-0.0008,-0.02%
8 Oct. 2024,4.9771,0.0001,0.00%
7 Oct. 2024,4.977,0.0004,0.01%
4 Oct. 2024,4.9766,0.0003,0.01%
3 Oct. 2024,4.9763,-0.0001,0.00%
2 Oct. 2024,4.9764,0.0006,0.01%
1 Oct. 2024,4.9758,0.0002,0.00%
30 Sept. 2024,4.9756,-0.0004,-0.01%
27 Sept. 2024,4.976,0.0001,0.00%
26 Sept. 2024,4.9759,0.0001,0.00%
25 Sept. 2024,4.9758,0.0001,0.00%
24 Sept. 2024,4.9757,0.0016,0.03%
23 Sept. 2024,4.9741,-0.0004,-0.01%
20 Sept. 2024,4.9745,0.0001,0.00%
19 Sept. 2024,4.9744,-0.0002,0.00%
18 Sept. 2024,4.9746,0.0008,0.02%
17 Sept. 2024,4.9738,-0.0005,-0.01%
16 Sept. 2024,4.9743,0.0006,0.01%
13 Sept. 2024,4.9737,-0.0005,-0.01%
12 Sept. 2024,4.9742,0.0002,0.00%
11 Sept. 2024,4.974,-0.0002,0.00%
10 Sept. 2024,4.9742,0.0001,0.00%
9 Sept. 2024,4.9741,0.0013,0.03%
6 Sept. 2024,4.9728,0.0017,0.03%
5 Sept. 2024,4.9711,-0.0018,-0.04%
4 Sept. 2024,4.9729,-0.0009,-0.02%
3 Sept. 2024,4.9738,-0.0017,-0.03%
2 Sept. 2024,4.9755,-0.0014,-0.03%
30 Aug. 2024,4.9769,-0.0003,-0.01%
29 Aug. 2024,4.9772,0.0001,0.00%
28 Aug. 2024,4.9771,0.0006,0.01%
27 Aug. 2024,4.9765,0.0012,0.02%
26 Aug. 2024,4.9753,-0.0014,-0.03%
23 Aug. 2024,4.9767,0.0002,0.00%
22 Aug. 2024,4.9765,-0.0007,-0.01%
21 Aug. 2024,4.9772,0.0003,0.01%
20 Aug. 2024,4.9769,-0.0004,-0.01%
19 Aug. 2024,4.9773,0.0019,0.04%
16 Aug. 2024,4.9754,-0.0007,-0.01%
14 Aug. 2024,4.9761,-0.0003,-0.01%
13 Aug. 2024,4.9764,-0.0001,0.00%
12 Aug. 2024,4.9765,-0.0004,-0.01%
9 Aug. 2024,4.9769,0.0002,0.00%
8 Aug. 2024,4.9767,0.0001,0.00%
7 Aug. 2024,4.9766,-0.0002,0.00%
6 Aug. 2024,4.9768,-0.0001,0.00%
5 Aug. 2024,4.9769,0.0016,0.03%
2 Aug. 2024,4.9753,-0.0007,-0.01%
1 Aug. 2024,4.976,0.0008,0.02%
31 Iul. 2024,4.9752,-0.0001,0.00%
30 Iul. 2024,4.9753,0.0033,0.07%
29 Iul. 2024,4.972,0.002,0.04%
26 Iul. 2024,4.97,0.001,0.02%
25 Iul. 2024,4.969,-0.0014,-0.03%
24 Iul. 2024,4.9704,-0.0025,-0.05%
23 Iul. 2024,4.9729,0.0013,0.03%
22 Iul. 2024,4.9716,0.0007,0.01%
19 Iul. 2024,4.9709,0.0017,0.03%
18 Iul. 2024,4.9692,0.0011,0.02%
17 Iul. 2024,4.9681,0.0026,0.05%
16 Iul. 2024,4.9655,-0.0045,-0.09%
15 Iul. 2024,4.97,-0.0037,-0.07%
12 Iul. 2024,4.9737,-0.0012,-0.02%
11 Iul. 2024,4.9749,0.0013,0.03%
10 Iul. 2024,4.9736,0.0001,0.00%
9 Iul. 2024,4.9735,-0.002,-0.04%
8 Iul. 2024,4.9755,-0.0018,-0.04%
5 Iul. 2024,4.9773,0.0001,0.00%
4 Iul. 2024,4.9772,0.0001,0.00%
3 Iul. 2024,4.9771,0.0001,0.00%
2 Iul. 2024,4.977,0,0%
1 Iul. 2024,4.977,-0.0001,0.00%
28 Iun. 2024,4.9771,0.0003,0.01%
27 Iun. 2024,4.9768,-0.0001,0.00%
26 Iun. 2024,4.9769,0.0001,0.00%
25 Iun. 2024,4.9768,-0.0003,-0.01%
21 Iun. 2024,4.9771,0.0001,0.00%
20 Iun. 2024,4.977,0.0007,0.01%
19 Iun. 2024,4.9763,-0.0003,-0.01%
18 Iun. 2024,4.9766,-0.0002,0.00%
17 Iun. 2024,4.9768,-0.0003,-0.01%
14 Iun. 2024,4.9771,-0.0001,0.00%
13 Iun. 2024,4.9772,0.0006,0.01%
12 Iun. 2024,4.9766,-0.0001,0.00%
11 Iun. 2024,4.9767,0.0002,0.00%
10 Iun. 2024,4.9765,0.0005,0.01%
7 Iun. 2024,4.976,-0.0003,-0.01%
6 Iun. 2024,4.9763,0.0005,0.01%
5 Iun. 2024,4.9758,0.0006,0.01%
4 Iun. 2024,4.9752,-0.0009,-0.02%
3 Iun. 2024,4.9761,-0.0006,-0.01%
31 Mai 2024,4.9767,0.0001,0.00%
30 Mai 2024,4.9766,0.0004,0.01%
29 Mai 2024,4.9762,0.0003,0.01%
28 Mai 2024,4.9759,-0.0008,-0.02%
27 Mai 2024,4.9767,0.0023,0.05%
24 Mai 2024,4.9744,-0.0013,-0.03%
23 Mai 2024,4.9757,0.0012,0.02%
22 Mai 2024,4.9745,-0.0001,0.00%
21 Mai 2024,4.9746,-0.0002,0.00%
20 Mai 2024,4.9748,-0.0003,-0.01%
17 Mai 2024,4.9751,-0.0005,-0.01%
16 Mai 2024,4.9756,-0.0009,-0.02%
15 Mai 2024,4.9765,0.0002,0.00%
14 Mai 2024,4.9763,-0.0002,0.00%
13 Mai 2024,4.9765,0.0009,0.02%
10 Mai 2024,4.9756,0.0003,0.01%
9 Mai 2024,4.9753,-0.0008,-0.02%
8 Mai 2024,4.9761,0.0004,0.01%
7 Mai 2024,4.9757,-0.0007,-0.01%
2 Mai 2024,4.9764,0.0005,0.01%
30 Apr. 2024,4.9759,0.0001,0.00%
29 Apr. 2024,4.9758,-0.0007,-0.01%
26 Apr. 2024,4.9765,0.0002,0.00%
25 Apr. 2024,4.9763,0.0002,0.00%
24 Apr. 2024,4.9761,-0.0001,0.00%
23 Apr. 2024,4.9762,0.0004,0.01%
22 Apr. 2024,4.9758,-0.0006,-0.01%
19 Apr. 2024,4.9764,0.0001,0.00%
18 Apr. 2024,4.9763,0.0009,0.02%
17 Apr. 2024,4.9754,-0.0009,-0.02%
16 Apr. 2024,4.9763,0.0026,0.05%
15 Apr. 2024,4.9737,0.0023,0.05%
12 Apr. 2024,4.9714,0.0011,0.02%
11 Apr. 2024,4.9703,0.0011,0.02%
10 Apr. 2024,4.9692,0.001,0.02%
9 Apr. 2024,4.9682,0.0004,0.01%
8 Apr. 2024,4.9678,-0.0003,-0.01%
5 Apr. 2024,4.9681,-0.0027,-0.05%
4 Apr. 2024,4.9708,0.0019,0.04%
3 Apr. 2024,4.9689,-0.0016,-0.03%
2 Apr. 2024,4.9705,0.0005,0.01%
1 Apr. 2024,4.97,0.0005,0.01%
29 Mart. 2024,4.9695,-0.0035,-0.07%
28 Mart. 2024,4.973,0.002,0.04%
27 Mart. 2024,4.971,-0.0002,0.00%
26 Mart. 2024,4.9712,0.0001,0.00%
25 Mart. 2024,4.9711,-0.0016,-0.03%
22 Mart. 2024,4.9727,-0.0013,-0.03%
21 Mart. 2024,4.974,0.0001,0.00%
