"MTU (UTC)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"06/01/2021 18:00 - 06/01/2021 19:00","BZN|RO","8053.00","8230.00"
"06/01/2021 19:00 - 06/01/2021 20:00","BZN|RO","7592.00","7900.00"
"06/01/2021 20:00 - 06/01/2021 21:00","BZN|RO","7152.00","7400.00"
"06/01/2021 21:00 - 06/01/2021 22:00","BZN|RO","6782.00","6900.00"
"06/01/2021 22:00 - 06/01/2021 23:00","BZN|RO","6459.00","6400.00"
"06/01/2021 23:00 - 07/01/2021 00:00","BZN|RO","6284.00","6200.00"
"07/01/2021 00:00 - 07/01/2021 01:00","BZN|RO","6174.00","6080.00"
"07/01/2021 01:00 - 07/01/2021 02:00","BZN|RO","6050.00","6000.00"
"07/01/2021 02:00 - 07/01/2021 03:00","BZN|RO","6072.00","6050.00"
"07/01/2021 03:00 - 07/01/2021 04:00","BZN|RO","6302.00","6150.00"
"07/01/2021 04:00 - 07/01/2021 05:00","BZN|RO","6731.00","6550.00"
"07/01/2021 05:00 - 07/01/2021 06:00","BZN|RO","7344.00","7200.00"
"07/01/2021 06:00 - 07/01/2021 07:00","BZN|RO","7747.00","7700.00"
"07/01/2021 07:00 - 07/01/2021 08:00","BZN|RO","8016.00","7950.00"
"07/01/2021 08:00 - 07/01/2021 09:00","BZN|RO","8013.00","8000.00"
"07/01/2021 09:00 - 07/01/2021 10:00","BZN|RO","8002.00","7900.00"
"07/01/2021 10:00 - 07/01/2021 11:00","BZN|RO","7995.00","7850.00"
"07/01/2021 11:00 - 07/01/2021 12:00","BZN|RO","7955.00","7850.00"
"07/01/2021 12:00 - 07/01/2021 13:00","BZN|RO","7752.00","7800.00"
"07/01/2021 13:00 - 07/01/2021 14:00","BZN|RO","7706.00","7760.00"
"07/01/2021 14:00 - 07/01/2021 15:00","BZN|RO","7832.00","7900.00"
"07/01/2021 15:00 - 07/01/2021 16:00","BZN|RO","8301.00","8400.00"
"07/01/2021 16:00 - 07/01/2021 17:00","BZN|RO","8338.00","8450.00"
"07/01/2021 17:00 - 07/01/2021 18:00","BZN|RO","8262.00","8350.00"
"07/01/2021 18:00 - 07/01/2021 19:00","BZN|RO","8111.00","8170.00"
"07/01/2021 19:00 - 07/01/2021 20:00","BZN|RO","7663.00","7820.00"
"07/01/2021 20:00 - 07/01/2021 21:00","BZN|RO","7131.00","7300.00"
"07/01/2021 21:00 - 07/01/2021 22:00","BZN|RO","6791.00","6800.00"
"07/01/2021 22:00 - 07/01/2021 23:00","BZN|RO","6466.00","6600.00"
"07/01/2021 23:00 - 08/01/2021 00:00","BZN|RO","6254.00","6350.00"
"08/01/2021 00:00 - 08/01/2021 01:00","BZN|RO","6126.00","6250.00"
"08/01/2021 01:00 - 08/01/2021 02:00","BZN|RO","6129.00","6200.00"
"08/01/2021 02:00 - 08/01/2021 03:00","BZN|RO","6165.00","6230.00"
"08/01/2021 03:00 - 08/01/2021 04:00","BZN|RO","6362.00","6430.00"
"08/01/2021 04:00 - 08/01/2021 05:00","BZN|RO","6792.00","6850.00"
"08/01/2021 05:00 - 08/01/2021 06:00","BZN|RO","7547.00","7550.00"
"08/01/2021 06:00 - 08/01/2021 07:00","BZN|RO","8129.00","8130.00"
"08/01/2021 07:00 - 08/01/2021 08:00","BZN|RO","8571.00","8470.00"
"08/01/2021 08:00 - 08/01/2021 09:00","BZN|RO","8705.00","8500.00"
"08/01/2021 09:00 - 08/01/2021 10:00","BZN|RO","8807.00","8470.00"
"08/01/2021 10:00 - 08/01/2021 11:00","BZN|RO","8829.00","8480.00"
"08/01/2021 11:00 - 08/01/2021 12:00","BZN|RO","8801.00","8480.00"
"08/01/2021 12:00 - 08/01/2021 13:00","BZN|RO","8619.00","8320.00"
"08/01/2021 13:00 - 08/01/2021 14:00","BZN|RO","8050.00","8260.00"
"08/01/2021 14:00 - 08/01/2021 15:00","BZN|RO","8250.00","8350.00"
"08/01/2021 15:00 - 08/01/2021 16:00","BZN|RO","8586.00","8720.00"
"08/01/2021 16:00 - 08/01/2021 17:00","BZN|RO","8708.00","8750.00"
"08/01/2021 17:00 - 08/01/2021 18:00","BZN|RO","8615.00","8620.00"
"08/01/2021 18:00 - 08/01/2021 19:00","BZN|RO","8370.00","8380.00"
"08/01/2021 19:00 - 08/01/2021 20:00","BZN|RO","7967.00","7950.00"
"08/01/2021 20:00 - 08/01/2021 21:00","BZN|RO","7432.00","7450.00"
"08/01/2021 21:00 - 08/01/2021 22:00","BZN|RO","6972.00","7000.00"
"08/01/2021 22:00 - 08/01/2021 23:00","BZN|RO","6613.03","6600.00"
"08/01/2021 23:00 - 09/01/2021 00:00","BZN|RO","6403.00","6400.00"
"09/01/2021 00:00 - 09/01/2021 01:00","BZN|RO","6258.00","6250.00"
"09/01/2021 01:00 - 09/01/2021 02:00","BZN|RO","6156.00","6170.00"
"09/01/2021 02:00 - 09/01/2021 03:00","BZN|RO","6201.00","6200.00"
"09/01/2021 03:00 - 09/01/2021 04:00","BZN|RO","6260.00","6300.00"
"09/01/2021 04:00 - 09/01/2021 05:00","BZN|RO","6398.00","6530.00"
"09/01/2021 05:00 - 09/01/2021 06:00","BZN|RO","6740.00","6950.00"
"09/01/2021 06:00 - 09/01/2021 07:00","BZN|RO","7132.00","7400.00"
