"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (RON/MWh)","Intraday Period (CET/CEST)","Intraday Price (RON/MWh)"
"04/01/2015 01:00:00 - 04/01/2015 02:00:00","BZN|RO","Without Sequence","80.96","",""
"04/01/2015 02:00:00 - 04/01/2015 03:00:00","BZN|RO","Without Sequence","12.32","",""
"04/01/2015 03:00:00 - 04/01/2015 04:00:00","BZN|RO","Without Sequence","10.00","",""
"04/01/2015 04:00:00 - 04/01/2015 05:00:00","BZN|RO","Without Sequence","7.00","",""
"04/01/2015 05:00:00 - 04/01/2015 06:00:00","BZN|RO","Without Sequence","12.32","",""
"04/01/2015 06:00:00 - 04/01/2015 07:00:00","BZN|RO","Without Sequence","59.00","",""
"04/01/2015 07:00:00 - 04/01/2015 08:00:00","BZN|RO","Without Sequence","174.57","",""
"04/01/2015 08:00:00 - 04/01/2015 09:00:00","BZN|RO","Without Sequence","220.00","",""
"04/01/2015 09:00:00 - 04/01/2015 10:00:00","BZN|RO","Without Sequence","248.00","",""
"04/01/2015 10:00:00 - 04/01/2015 11:00:00","BZN|RO","Without Sequence","265.62","",""
"04/01/2015 11:00:00 - 04/01/2015 12:00:00","BZN|RO","Without Sequence","268.00","",""
"04/01/2015 12:00:00 - 04/01/2015 13:00:00","BZN|RO","Without Sequence","248.00","",""
"04/01/2015 13:00:00 - 04/01/2015 14:00:00","BZN|RO","Without Sequence","219.00","",""
"04/01/2015 14:00:00 - 04/01/2015 15:00:00","BZN|RO","Without Sequence","206.00","",""
"04/01/2015 15:00:00 - 04/01/2015 16:00:00","BZN|RO","Without Sequence","238.00","",""
"04/01/2015 16:00:00 - 04/01/2015 17:00:00","BZN|RO","Without Sequence","270.00","",""
"04/01/2015 17:00:00 - 04/01/2015 18:00:00","BZN|RO","Without Sequence","271.00","",""
"04/01/2015 18:00:00 - 04/01/2015 19:00:00","BZN|RO","Without Sequence","268.00","",""
"04/01/2015 19:00:00 - 04/01/2015 20:00:00","BZN|RO","Without Sequence","269.21","",""
"04/01/2015 20:00:00 - 04/01/2015 21:00:00","BZN|RO","Without Sequence","268.00","",""
"04/01/2015 21:00:00 - 04/01/2015 22:00:00","BZN|RO","Without Sequence","237.36","",""
"04/01/2015 22:00:00 - 04/01/2015 23:00:00","BZN|RO","Without Sequence","188.00","",""
"04/01/2015 23:00:00 - 05/01/2015 00:00:00","BZN|RO","Without Sequence","195.26","",""
"05/01/2015 00:00:00 - 05/01/2015 01:00:00","BZN|RO","Without Sequence","86.15","",""
"05/01/2015 01:00:00 - 05/01/2015 02:00:00","BZN|RO","Without Sequence","80.68","",""
"05/01/2015 02:00:00 - 05/01/2015 03:00:00","BZN|RO","Without Sequence","72.59","",""
"05/01/2015 03:00:00 - 05/01/2015 04:00:00","BZN|RO","Without Sequence","69.06","",""
"05/01/2015 04:00:00 - 05/01/2015 05:00:00","BZN|RO","Without Sequence","73.19","",""
"05/01/2015 05:00:00 - 05/01/2015 06:00:00","BZN|RO","Without Sequence","94.62","",""
"05/01/2015 06:00:00 - 05/01/2015 07:00:00","BZN|RO","Without Sequence","214.13","",""
"05/01/2015 07:00:00 - 05/01/2015 08:00:00","BZN|RO","Without Sequence","268.00","",""
"05/01/2015 08:00:00 - 05/01/2015 09:00:00","BZN|RO","Without Sequence","268.00","",""
"05/01/2015 09:00:00 - 05/01/2015 10:00:00","BZN|RO","Without Sequence","268.00","",""
"05/01/2015 10:00:00 - 05/01/2015 11:00:00","BZN|RO","Without Sequence","268.00","",""
"05/01/2015 11:00:00 - 05/01/2015 12:00:00","BZN|RO","Without Sequence","258.00","",""
"05/01/2015 12:00:00 - 05/01/2015 13:00:00","BZN|RO","Without Sequence","249.00","",""
"05/01/2015 13:00:00 - 05/01/2015 14:00:00","BZN|RO","Without Sequence","238.00","",""
"05/01/2015 14:00:00 - 05/01/2015 15:00:00","BZN|RO","Without Sequence","229.00","",""
"05/01/2015 15:00:00 - 05/01/2015 16:00:00","BZN|RO","Without Sequence","229.00","",""
"05/01/2015 16:00:00 - 05/01/2015 17:00:00","BZN|RO","Without Sequence","253.97","",""
"05/01/2015 17:00:00 - 05/01/2015 18:00:00","BZN|RO","Without Sequence","271.00","",""
"05/01/2015 18:00:00 - 05/01/2015 19:00:00","BZN|RO","Without Sequence","271.00","",""
"05/01/2015 19:00:00 - 05/01/2015 20:00:00","BZN|RO","Without Sequence","268.00","",""
"05/01/2015 20:00:00 - 05/01/2015 21:00:00","BZN|RO","Without Sequence","245.00","",""
"05/01/2015 21:00:00 - 05/01/2015 22:00:00","BZN|RO","Without Sequence","197.84","",""
"05/01/2015 22:00:00 - 05/01/2015 23:00:00","BZN|RO","Without Sequence","184.36","",""
"05/01/2015 23:00:00 - 06/01/2015 00:00:00","BZN|RO","Without Sequence","147.24","",""
"06/01/2015 00:00:00 - 06/01/2015 01:00:00","BZN|RO","Without Sequence","149.46","",""
"06/01/2015 01:00:00 - 06/01/2015 02:00:00","BZN|RO","Without Sequence","136.48","",""
"06/01/2015 02:00:00 - 06/01/2015 03:00:00","BZN|RO","Without Sequence","125.50","",""
"06/01/2015 03:00:00 - 06/01/2015 04:00:00","BZN|RO","Without Sequence","122.81","",""
"06/01/2015 04:00:00 - 06/01/2015 05:00:00","BZN|RO","Without Sequence","126.62","",""
"06/01/2015 05:00:00 - 06/01/2015 06:00:00","BZN|RO","Without Sequence","143.86","",""
"06/01/2015 06:00:00 - 06/01/2015 07:00:00","BZN|RO","Without Sequence","201.29","",""
"06/01/2015 07:00:00 - 06/01/2015 08:00:00","BZN|RO","Without Sequence","216.65","",""
"06/01/2015 08:00:00 - 06/01/2015 09:00:00","BZN|RO","Without Sequence","224.89","",""
"06/01/2015 09:00:00 - 06/01/2015 10:00:00","BZN|RO","Without Sequence","225.00","",""
"06/01/2015 10:00:00 - 06/01/2015 11:00:00","BZN|RO","Without Sequence","227.94","",""
"06/01/2015 11:00:00 - 06/01/2015 12:00:00","BZN|RO","Without Sequence","219.00","",""
"06/01/2015 12:00:00 - 06/01/2015 13:00:00","BZN|RO","Without Sequence","210.95","",""
"06/01/2015 13:00:00 - 06/01/2015 14:00:00","BZN|RO","Without Sequence","201.99","",""
"06/01/2015 14:00:00 - 06/01/2015 15:00:00","BZN|RO","Without Sequence","201.81","",""
"06/01/2015 15:00:00 - 06/01/2015 16:00:00","BZN|RO","Without Sequence","201.81","",""
"06/01/2015 16:00:00 - 06/01/2015 17:00:00","BZN|RO","Without Sequence","236.00","",""
"06/01/2015 17:00:00 - 06/01/2015 18:00:00","BZN|RO","Without Sequence","249.00","",""
"06/01/2015 18:00:00 - 06/01/2015 19:00:00","BZN|RO","Without Sequence","248.00","",""
"06/01/2015 19:00:00 - 06/01/2015 20:00:00","BZN|RO","Without Sequence","229.00","",""
"06/01/2015 20:00:00 - 06/01/2015 21:00:00","BZN|RO","Without Sequence","201.98","",""
"06/01/2015 21:00:00 - 06/01/2015 22:00:00","BZN|RO","Without Sequence","139.00","",""
